subset,model,seed,rmse_point,rmse_quantile,nasa_score_point,nasa_score_quantile,quantile_minus_point_rmse,quantile_minus_point_nasa_score
FD003,lightgbm,11,14.912520315888946,17.448382164845107,647.6170615190532,1595.4886784908456,2.535861848956161,947.8716169717924
FD003,lightgbm,23,14.912520315888946,17.448382164845107,647.6170615190532,1595.4886784908456,2.535861848956161,947.8716169717924
FD003,lightgbm,37,14.912520315888946,17.448382164845107,647.6170615190532,1595.4886784908456,2.535861848956161,947.8716169717924
FD003,lightgbm,53,14.912520315888946,17.448382164845107,647.6170615190532,1595.4886784908456,2.535861848956161,947.8716169717924
FD003,lightgbm,71,14.912520315888946,17.448382164845107,647.6170615190532,1595.4886784908456,2.535861848956161,947.8716169717924
FD003,lstm,11,41.925841091756574,41.768178832074135,37240.0694939218,35635.84451184906,-0.1576622596824393,-1604.2249820727375
FD003,lstm,23,41.89813827162853,41.718300641421905,36956.0250554829,35134.53386741739,-0.17983763020662735,-1821.4911880655127
FD003,lstm,37,41.90410158206236,42.00710679685171,37016.98371474051,38079.05610435052,0.10300521478934854,1062.0723896100099
FD003,lstm,53,21.11373593151772,41.68366656661809,1184.178302395718,34788.15385489231,20.569930635100373,33603.975552496595
FD003,lstm,71,41.90903325542824,41.72328967865222,37067.616504295394,35184.5666445402,-0.18574357677601938,-1883.0498597551923
FD003,transformer,11,13.751303268996022,15.214022647885933,477.874090544434,1486.586978115986,1.4627193788899113,1008.7128875715521
FD003,transformer,23,13.362920092885087,14.069876149052615,348.59547932358004,441.5082256058605,0.7069560561675274,92.91274628228047
FD003,transformer,37,12.998690557207674,15.049070845369158,293.9674884962405,639.7789361911916,2.0503802881614845,345.81144769495114
FD003,transformer,53,13.10100991550197,13.515637670250836,350.97312781907334,364.7256475259036,0.4146277547488655,13.752519706830242
FD003,transformer,71,13.714399747667253,14.128811567086332,339.80954486696106,1334.3083120123808,0.41441181941907956,994.4987671454198
FD004,cnn_1d,11,27.65720291066432,29.245028920357182,11048.77639830565,16220.96398161005,1.5878260096928614,5172.1875833044
FD004,cnn_1d,23,28.425015116610606,29.34135129756904,12965.64840052772,12500.723526939688,0.9163361809584352,-464.9248735880319
FD004,cnn_1d,37,27.970296985322694,29.80562670993391,13227.266912764528,14347.546762596136,1.835329724611217,1120.2798498316079
FD004,cnn_1d,53,27.990113661654934,28.396447028862482,14108.36569845589,14706.197843865913,0.406333367207548,597.8321454100242
FD004,cnn_1d,71,29.560166481325023,30.123835825598498,18642.94731724435,16275.920485448838,0.5636693442734746,-2367.0268317955124
FD004,lightgbm,11,17.89413301052379,21.887859140370217,2030.2535108630325,5575.924182269224,3.9937261298464257,3545.670671406191
FD004,lightgbm,23,17.89413301052379,21.887859140370217,2030.2535108630325,5575.924182269224,3.9937261298464257,3545.670671406191
FD004,lightgbm,37,17.89413301052379,21.887859140370217,2030.2535108630325,5575.924182269224,3.9937261298464257,3545.670671406191
FD004,lightgbm,53,17.89413301052379,21.887859140370217,2030.2535108630325,5575.924182269224,3.9937261298464257,3545.670671406191
FD004,lightgbm,71,17.89413301052379,21.887859140370217,2030.2535108630325,5575.924182269224,3.9937261298464257,3545.670671406191
FD004,lstm,11,43.87363606890154,43.687131479597525,88471.23491700084,80446.86290273625,-0.1865045893040147,-8024.372014264591
FD004,lstm,23,43.88932651180193,43.726725913426,89142.65515662619,82160.04765022465,-0.16260059837593133,-6982.607506401546
FD004,lstm,37,43.88577965218462,43.54079609616078,88990.88729371525,74032.19043197925,-0.3449835560238341,-14958.696861735996
FD004,lstm,53,43.88594096203426,43.7034733690332,88997.80206768816,81154.84616011244,-0.1824675930010642,-7842.955907575713
FD004,lstm,71,43.86187838107184,43.720384138286384,87967.91237022224,81886.15443246276,-0.14149424278545553,-6081.757937759481
FD004,transformer,11,43.58915730852383,46.48215425179583,95752.08704581068,212709.06834690613,2.892996943272003,116956.98130109545
FD004,transformer,23,21.45672055496294,46.063275596302084,3087.4629918406454,190181.40662972067,24.606555041339146,187093.94363788003
FD004,transformer,37,21.113483605473615,46.647466345987475,4184.682068486336,222011.4122519669,25.53398274051386,217826.73018348054
FD004,transformer,53,21.69293035071874,45.728168541554574,5222.751410546423,173030.171981276,24.035238190835834,167807.4205707296
FD004,transformer,71,23.193722670187704,24.198888415009677,9160.905644310109,7591.896186218173,1.0051657448219729,-1569.0094580919358
