run_id,dataset,model,sensor_set,seed,training_label,common_truth,rmse,engine_count,prediction_clipping
kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed37,FD001,cnn_1d,common_14,37,linear_uncapped,piecewise_125,30.61908303555321,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed53,FD001,cnn_1d,common_14,53,linear_uncapped,raw_rul,29.603941117543474,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed53,FD001,cnn_1d,common_14,53,linear_uncapped,piecewise_125,29.677049721821565,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed71,FD001,cnn_1d,common_14,71,linear_uncapped,raw_rul,30.106064270978944,100,none
kill_v1__fd001__cnn_1d__linear_uncapped__common_14__seed71,FD001,cnn_1d,common_14,71,linear_uncapped,piecewise_125,30.22336029565009,100,none
kill_v1__fd001__lightgbm__piecewise_125__all_21__seed11,FD001,lightgbm,all_21,11,piecewise_125,raw_rul,14.905273714124563,100,none
kill_v1__fd001__lightgbm__piecewise_125__all_21__seed11,FD001,lightgbm,all_21,11,piecewise_125,piecewise_125,13.748668171558908,100,none
kill_v1__fd001__lightgbm__piecewise_125__all_21__seed23,FD001,lightgbm,all_21,23,piecewise_125,raw_rul,14.905273714124563,100,none
kill_v1__fd001__lightgbm__piecewise_125__all_21__seed23,FD001,lightgbm,all_21,23,piecewise_125,piecewise_125,13.748668171558908,100,none
kill_v1__fd001__lightgbm__piecewise_125__all_21__seed37,FD001,lightgbm,all_21,37,piecewise_125,raw_rul,14.905273714124563,100,none
kill_v1__fd001__lightgbm__piecewise_125__all_21__seed37,FD001,lightgbm,all_21,37,piecewise_125,piecewise_125,13.748668171558908,100,none
kill_v1__fd001__lightgbm__piecewise_125__all_21__seed53,FD001,lightgbm,all_21,53,piecewise_125,raw_rul,14.905273714124563,100,none
kill_v1__fd001__lightgbm__piecewise_125__all_21__seed53,FD001,lightgbm,all_21,53,piecewise_125,piecewise_125,13.748668171558908,100,none
kill_v1__fd001__lightgbm__piecewise_125__all_21__seed71,FD001,lightgbm,all_21,71,piecewise_125,raw_rul,14.905273714124563,100,none
kill_v1__fd001__lightgbm__piecewise_125__all_21__seed71,FD001,lightgbm,all_21,71,piecewise_125,piecewise_125,13.748668171558908,100,none
kill_v1__fd001__lightgbm__piecewise_125__common_14__seed11,FD001,lightgbm,common_14,11,piecewise_125,raw_rul,14.905273714124563,100,none
kill_v1__fd001__lightgbm__piecewise_125__common_14__seed11,FD001,lightgbm,common_14,11,piecewise_125,piecewise_125,13.748668171558908,100,none
kill_v1__fd001__lightgbm__piecewise_125__common_14__seed23,FD001,lightgbm,common_14,23,piecewise_125,raw_rul,14.905273714124563,100,none
kill_v1__fd001__lightgbm__piecewise_125__common_14__seed23,FD001,lightgbm,common_14,23,piecewise_125,piecewise_125,13.748668171558908,100,none
kill_v1__fd001__lightgbm__piecewise_125__common_14__seed37,FD001,lightgbm,common_14,37,piecewise_125,raw_rul,14.905273714124563,100,none
kill_v1__fd001__lightgbm__piecewise_125__common_14__seed37,FD001,lightgbm,common_14,37,piecewise_125,piecewise_125,13.748668171558908,100,none
kill_v1__fd001__lightgbm__piecewise_125__common_14__seed53,FD001,lightgbm,common_14,53,piecewise_125,raw_rul,14.905273714124563,100,none
kill_v1__fd001__lightgbm__piecewise_125__common_14__seed53,FD001,lightgbm,common_14,53,piecewise_125,piecewise_125,13.748668171558908,100,none
kill_v1__fd001__lightgbm__piecewise_125__common_14__seed71,FD001,lightgbm,common_14,71,piecewise_125,raw_rul,14.905273714124563,100,none
kill_v1__fd001__lightgbm__piecewise_125__common_14__seed71,FD001,lightgbm,common_14,71,piecewise_125,piecewise_125,13.748668171558908,100,none
kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed11,FD001,lightgbm,all_21,11,linear_uncapped,raw_rul,26.4534641611722,100,none
kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed11,FD001,lightgbm,all_21,11,linear_uncapped,piecewise_125,27.006180951553205,100,none
kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed23,FD001,lightgbm,all_21,23,linear_uncapped,raw_rul,26.4534641611722,100,none
kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed23,FD001,lightgbm,all_21,23,linear_uncapped,piecewise_125,27.006180951553205,100,none
kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed37,FD001,lightgbm,all_21,37,linear_uncapped,raw_rul,26.4534641611722,100,none
kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed37,FD001,lightgbm,all_21,37,linear_uncapped,piecewise_125,27.006180951553205,100,none
kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed53,FD001,lightgbm,all_21,53,linear_uncapped,raw_rul,26.4534641611722,100,none
kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed53,FD001,lightgbm,all_21,53,linear_uncapped,piecewise_125,27.006180951553205,100,none
kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed71,FD001,lightgbm,all_21,71,linear_uncapped,raw_rul,26.4534641611722,100,none
kill_v1__fd001__lightgbm__linear_uncapped__all_21__seed71,FD001,lightgbm,all_21,71,linear_uncapped,piecewise_125,27.006180951553205,100,none
kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed11,FD001,lightgbm,common_14,11,linear_uncapped,raw_rul,26.82481261139879,100,none
kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed11,FD001,lightgbm,common_14,11,linear_uncapped,piecewise_125,27.408096551540115,100,none
kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed23,FD001,lightgbm,common_14,23,linear_uncapped,raw_rul,26.82481261139879,100,none
kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed23,FD001,lightgbm,common_14,23,linear_uncapped,piecewise_125,27.408096551540115,100,none
kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed37,FD001,lightgbm,common_14,37,linear_uncapped,raw_rul,26.82481261139879,100,none
kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed37,FD001,lightgbm,common_14,37,linear_uncapped,piecewise_125,27.408096551540115,100,none
kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed53,FD001,lightgbm,common_14,53,linear_uncapped,raw_rul,26.82481261139879,100,none
kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed53,FD001,lightgbm,common_14,53,linear_uncapped,piecewise_125,27.408096551540115,100,none
kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed71,FD001,lightgbm,common_14,71,linear_uncapped,raw_rul,26.82481261139879,100,none
kill_v1__fd001__lightgbm__linear_uncapped__common_14__seed71,FD001,lightgbm,common_14,71,linear_uncapped,piecewise_125,27.408096551540115,100,none
kill_v1__fd004__lstm__piecewise_125__all_21__seed11,FD004,lstm,all_21,11,piecewise_125,raw_rul,54.52390015588457,248,none
kill_v1__fd004__lstm__piecewise_125__all_21__seed11,FD004,lstm,all_21,11,piecewise_125,piecewise_125,43.86600104512802,248,none
kill_v1__fd004__lstm__piecewise_125__all_21__seed23,FD004,lstm,all_21,23,piecewise_125,raw_rul,54.52406024865034,248,none
kill_v1__fd004__lstm__piecewise_125__all_21__seed23,FD004,lstm,all_21,23,piecewise_125,piecewise_125,43.88150503471881,248,none
kill_v1__fd004__lstm__piecewise_125__all_21__seed37,FD004,lstm,all_21,37,piecewise_125,raw_rul,54.5239649391074,248,none
kill_v1__fd004__lstm__piecewise_125__all_21__seed37,FD004,lstm,all_21,37,piecewise_125,piecewise_125,43.874566036130396,248,none
kill_v1__fd004__lstm__piecewise_125__all_21__seed53,FD004,lstm,all_21,53,piecewise_125,raw_rul,54.524005985911984,248,none
kill_v1__fd004__lstm__piecewise_125__all_21__seed53,FD004,lstm,all_21,53,piecewise_125,piecewise_125,43.877185015447985,248,none
kill_v1__fd004__lstm__piecewise_125__all_21__seed71,FD004,lstm,all_21,71,piecewise_125,raw_rul,54.52390619764496,248,none
kill_v1__fd004__lstm__piecewise_125__all_21__seed71,FD004,lstm,all_21,71,piecewise_125,piecewise_125,43.86721258725309,248,none
kill_v1__fd004__lstm__piecewise_125__common_14__seed11,FD004,lstm,common_14,11,piecewise_125,raw_rul,54.52395045893178,248,none
kill_v1__fd004__lstm__piecewise_125__common_14__seed11,FD004,lstm,common_14,11,piecewise_125,piecewise_125,43.87363606890154,248,none
kill_v1__fd004__lstm__piecewise_125__common_14__seed23,FD004,lstm,common_14,23,piecewise_125,raw_rul,54.52415552212629,248,none
kill_v1__fd004__lstm__piecewise_125__common_14__seed23,FD004,lstm,common_14,23,piecewise_125,piecewise_125,43.88932651180193,248,none
kill_v1__fd004__lstm__piecewise_125__common_14__seed37,FD004,lstm,common_14,37,piecewise_125,raw_rul,54.52410950380993,248,none
kill_v1__fd004__lstm__piecewise_125__common_14__seed37,FD004,lstm,common_14,37,piecewise_125,piecewise_125,43.88577965218462,248,none
kill_v1__fd004__lstm__piecewise_125__common_14__seed53,FD004,lstm,common_14,53,piecewise_125,raw_rul,54.52411038859738,248,none
kill_v1__fd004__lstm__piecewise_125__common_14__seed53,FD004,lstm,common_14,53,piecewise_125,piecewise_125,43.88594096203426,248,none
kill_v1__fd004__lstm__piecewise_125__common_14__seed71,FD004,lstm,common_14,71,piecewise_125,raw_rul,54.523859609992456,248,none
kill_v1__fd004__lstm__piecewise_125__common_14__seed71,FD004,lstm,common_14,71,piecewise_125,piecewise_125,43.86187838107184,248,none
kill_v1__fd004__lstm__linear_uncapped__all_21__seed11,FD004,lstm,all_21,11,linear_uncapped,raw_rul,59.62630064872301,248,none
kill_v1__fd004__lstm__linear_uncapped__all_21__seed11,FD004,lstm,all_21,11,linear_uncapped,piecewise_125,54.083525393073295,248,none
kill_v1__fd004__lstm__linear_uncapped__all_21__seed23,FD004,lstm,all_21,23,linear_uncapped,raw_rul,59.67849842911926,248,none
kill_v1__fd004__lstm__linear_uncapped__all_21__seed23,FD004,lstm,all_21,23,linear_uncapped,piecewise_125,54.16172372902329,248,none
kill_v1__fd004__lstm__linear_uncapped__all_21__seed37,FD004,lstm,all_21,37,linear_uncapped,raw_rul,59.718416335403816,248,none
kill_v1__fd004__lstm__linear_uncapped__all_21__seed37,FD004,lstm,all_21,37,linear_uncapped,piecewise_125,54.22142605579832,248,none
kill_v1__fd004__lstm__linear_uncapped__all_21__seed53,FD004,lstm,all_21,53,linear_uncapped,raw_rul,59.685418249832686,248,none
kill_v1__fd004__lstm__linear_uncapped__all_21__seed53,FD004,lstm,all_21,53,linear_uncapped,piecewise_125,54.17207894652034,248,none
kill_v1__fd004__lstm__linear_uncapped__all_21__seed71,FD004,lstm,all_21,71,linear_uncapped,raw_rul,59.66627032897916,248,none
kill_v1__fd004__lstm__linear_uncapped__all_21__seed71,FD004,lstm,all_21,71,linear_uncapped,piecewise_125,54.143420382951646,248,none
kill_v1__fd004__lstm__linear_uncapped__common_14__seed11,FD004,lstm,common_14,11,linear_uncapped,raw_rul,59.660057833474475,248,none
kill_v1__fd004__lstm__linear_uncapped__common_14__seed11,FD004,lstm,common_14,11,linear_uncapped,piecewise_125,54.13412000516315,248,none
kill_v1__fd004__lstm__linear_uncapped__common_14__seed23,FD004,lstm,common_14,23,linear_uncapped,raw_rul,59.71376313083512,248,none
kill_v1__fd004__lstm__linear_uncapped__common_14__seed23,FD004,lstm,common_14,23,linear_uncapped,piecewise_125,54.214476052794986,248,none
kill_v1__fd004__lstm__linear_uncapped__common_14__seed37,FD004,lstm,common_14,37,linear_uncapped,raw_rul,59.7672767232519,248,none
kill_v1__fd004__lstm__linear_uncapped__common_14__seed37,FD004,lstm,common_14,37,linear_uncapped,piecewise_125,54.294378551901445,248,none
kill_v1__fd004__lstm__linear_uncapped__common_14__seed53,FD004,lstm,common_14,53,linear_uncapped,raw_rul,59.72613510760162,248,none
kill_v1__fd004__lstm__linear_uncapped__common_14__seed53,FD004,lstm,common_14,53,linear_uncapped,piecewise_125,54.232961075281175,248,none
kill_v1__fd004__lstm__linear_uncapped__common_14__seed71,FD004,lstm,common_14,71,linear_uncapped,raw_rul,59.64423925500138,248,none
kill_v1__fd004__lstm__linear_uncapped__common_14__seed71,FD004,lstm,common_14,71,linear_uncapped,piecewise_125,54.110422044436724,248,none
kill_v1__fd004__cnn_1d__piecewise_125__all_21__seed11,FD004,cnn_1d,all_21,11,piecewise_125,raw_rul,35.58417097885033,248,none
kill_v1__fd004__cnn_1d__piecewise_125__all_21__seed11,FD004,cnn_1d,all_21,11,piecewise_125,piecewise_125,25.486483985723126,248,none
kill_v1__fd004__cnn_1d__piecewise_125__all_21__seed23,FD004,cnn_1d,all_21,23,piecewise_125,raw_rul,36.27068976904657,248,none
kill_v1__fd004__cnn_1d__piecewise_125__all_21__seed23,FD004,cnn_1d,all_21,23,piecewise_125,piecewise_125,26.503872265776003,248,none
kill_v1__fd004__cnn_1d__piecewise_125__all_21__seed37,FD004,cnn_1d,all_21,37,piecewise_125,raw_rul,35.52445612257839,248,none
kill_v1__fd004__cnn_1d__piecewise_125__all_21__seed37,FD004,cnn_1d,all_21,37,piecewise_125,piecewise_125,25.998459096435486,248,none
kill_v1__fd004__cnn_1d__piecewise_125__all_21__seed53,FD004,cnn_1d,all_21,53,piecewise_125,raw_rul,37.51245608682876,248,none
kill_v1__fd004__cnn_1d__piecewise_125__all_21__seed53,FD004,cnn_1d,all_21,53,piecewise_125,piecewise_125,27.179597744105997,248,none
kill_v1__fd004__cnn_1d__piecewise_125__all_21__seed71,FD004,cnn_1d,all_21,71,piecewise_125,raw_rul,36.627726603832826,248,none
kill_v1__fd004__cnn_1d__piecewise_125__all_21__seed71,FD004,cnn_1d,all_21,71,piecewise_125,piecewise_125,26.796021303859508,248,none
kill_v1__fd004__cnn_1d__piecewise_125__common_14__seed11,FD004,cnn_1d,common_14,11,piecewise_125,raw_rul,37.574231451995104,248,none
kill_v1__fd004__cnn_1d__piecewise_125__common_14__seed11,FD004,cnn_1d,common_14,11,piecewise_125,piecewise_125,27.65720291066432,248,none
kill_v1__fd004__cnn_1d__piecewise_125__common_14__seed23,FD004,cnn_1d,common_14,23,piecewise_125,raw_rul,38.351461573376966,248,none
kill_v1__fd004__cnn_1d__piecewise_125__common_14__seed23,FD004,cnn_1d,common_14,23,piecewise_125,piecewise_125,28.425015116610606,248,none
kill_v1__fd004__cnn_1d__piecewise_125__common_14__seed37,FD004,cnn_1d,common_14,37,piecewise_125,raw_rul,37.600273591667815,248,none
kill_v1__fd004__cnn_1d__piecewise_125__common_14__seed37,FD004,cnn_1d,common_14,37,piecewise_125,piecewise_125,27.970296985322694,248,none
kill_v1__fd004__cnn_1d__piecewise_125__common_14__seed53,FD004,cnn_1d,common_14,53,piecewise_125,raw_rul,37.125086359987755,248,none
kill_v1__fd004__cnn_1d__piecewise_125__common_14__seed53,FD004,cnn_1d,common_14,53,piecewise_125,piecewise_125,27.990113661654934,248,none
kill_v1__fd004__cnn_1d__piecewise_125__common_14__seed71,FD004,cnn_1d,common_14,71,piecewise_125,raw_rul,38.660894510013435,248,none
kill_v1__fd004__cnn_1d__piecewise_125__common_14__seed71,FD004,cnn_1d,common_14,71,piecewise_125,piecewise_125,29.560166481325023,248,none
kill_v1__fd004__cnn_1d__linear_uncapped__all_21__seed11,FD004,cnn_1d,all_21,11,linear_uncapped,raw_rul,47.99741847181296,248,none
kill_v1__fd004__cnn_1d__linear_uncapped__all_21__seed11,FD004,cnn_1d,all_21,11,linear_uncapped,piecewise_125,51.05321299617563,248,none
kill_v1__fd004__cnn_1d__linear_uncapped__all_21__seed23,FD004,cnn_1d,all_21,23,linear_uncapped,raw_rul,48.44749649277503,248,none
kill_v1__fd004__cnn_1d__linear_uncapped__all_21__seed23,FD004,cnn_1d,all_21,23,linear_uncapped,piecewise_125,51.76001754364726,248,none
kill_v1__fd004__cnn_1d__linear_uncapped__all_21__seed37,FD004,cnn_1d,all_21,37,linear_uncapped,raw_rul,44.94995335800312,248,none
kill_v1__fd004__cnn_1d__linear_uncapped__all_21__seed37,FD004,cnn_1d,all_21,37,linear_uncapped,piecewise_125,47.00286565483609,248,none
kill_v1__fd004__cnn_1d__linear_uncapped__all_21__seed53,FD004,cnn_1d,all_21,53,linear_uncapped,raw_rul,44.21050180531648,248,none
kill_v1__fd004__cnn_1d__linear_uncapped__all_21__seed53,FD004,cnn_1d,all_21,53,linear_uncapped,piecewise_125,46.052996303649756,248,none
kill_v1__fd004__cnn_1d__linear_uncapped__all_21__seed71,FD004,cnn_1d,all_21,71,linear_uncapped,raw_rul,46.446641013482946,248,none
kill_v1__fd004__cnn_1d__linear_uncapped__all_21__seed71,FD004,cnn_1d,all_21,71,linear_uncapped,piecewise_125,48.93014922882443,248,none
kill_v1__fd004__cnn_1d__linear_uncapped__common_14__seed11,FD004,cnn_1d,common_14,11,linear_uncapped,raw_rul,45.34988689964107,248,none
